taxid	has_assembly	has_annotation	has_reads	genome_size	gc_content
2706	0	0	1		
2708	1	0	1	676099512	36
2709	1	0	1	364517697	36.5
2711	1	1	1	370388139	39
2759	0	0	1		
2762	1	0	1	98351904	63.5
2769	1	1	1	104800334	53
2771	1	1	1	11413374	40.5
2777	1	0	1	75830223	49.5
2782	1	0	1	88693116	50
2785	0	0	1		
2786	1	1	1	87698808	66
2788	1	1	1	107590730	65
2792	0	0	1		
2801	0	0	1		
2822	1	0	1	1050228259	52
2829	1	1	1	1519658451	47
2831	0	0	1		
2843	1	0	1	136491466	45.5
2850	1	0	1	29027341	48.5
2853	1	0	0	48249611	45.5
2856	1	1	1	55068444	45.5
2857	0	0	1		
2866	0	0	1		
2868	0	0	1		
2872	1	0	1	895502704	46
2876	1	0	1	154642	31
2880	1	1	1	195810619	53.5
2885	1	1	1	322658259	51.5
2889	0	0	1		
2893	0	0	1		
2898	1	1	1	487066	26
2903	0	0	1		
2916	0	0	1		
2923	0	0	1		
2924	0	0	1		
2925	0	0	1		
2926	0	0	1		
2932	0	0	1		
2938	0	0	1		
2944	0	0	1		
2945	0	0	1		
2949	0	0	1		
2950	0	0	1		
2951	1	1	1	829957248	51
2952	1	1	1	1272317819	48.5
2961	1	1	1	1253727599	44
2966	0	0	1		
2969	0	0	1		
2972	1	0	1	427298358	52.5
2977	1	0	1	191659160	39.5
2985	0	0	1		
2986	1	0	1	52446323	41
2988	0	0	1		
2996	1	0	1	171182409	45.5
2998	0	0	1		
3003	0	0	1		
3005	0	0	1		
3012	0	0	1		
3013	0	0	1		
3029	0	0	1		
3031	0	0	1		
3032	0	0	1		
3034	0	0	1		
3037	0	0	1		
3039	1	0	1	2374839547	51.5
3041	0	0	1		
3046	1	1	1	343704392	49
3047	1	0	1	214072278	49
3048	0	0	1		
3052	0	0	1		
3054	0	0	1		
3055	1	1	1	114515278	64
3067	0	0	1		
3068	1	1	1	137684403	56
3071	0	0	1		
3072	0	0	1		
3074	1	1	1	62730456	58.5
3075	1	1	1	32730026	62
3076	1	1	1	61549368	66.5
3077	1	1	1	48873932	56
3078	1	0	1	56992954	66.5
3079	1	0	1	44185683	64
3081	0	0	1		
3082	1	0	1	86702466	50
3084	0	0	1		
3087	0	0	1		
3088	1	1	1	207967116	56.5
3089	1	0	1	65353879	63
3099	0	0	1		
3105	0	0	1		
3107	0	0	1		
3111	1	1	1	27590722	63
3112	1	0	0	31323842	68
3117	1	0	1	103843212	55.5
3120	0	0	1		
3124	0	0	1		
3125	0	0	1		
3130	0	0	1		
3133	0	0	1		
3144	1	0	1	74330326	51.5
3150	0	0	1		
3156	0	0	1		
3159	0	0	1		
3161	0	0	1		
3164	0	0	1		
3165	1	0	1	227954216	58
3175	0	0	1		
3181	0	0	1		
3190	0	0	1		
3192	0	0	1		
3193	0	0	1		
3197	1	1	1	264203427	43.5
3202	0	0	1		
3213	1	0	1	424638598	40.5
3218	1	1	1	477721153	34
3221	0	0	1		
3222	0	0	1		
3225	1	1	1	362511043	42.5
3234	0	0	1		
3240	0	0	1		
3247	0	0	1		
3258	0	0	1		
3259	0	0	1		
3260	0	0	1		
3262	0	0	1		
3271	0	0	1		
3277	0	0	1		
3281	0	0	1		
3284	0	0	1		
3285	0	0	1		
3300	0	0	1		
3301	0	0	1		
3302	0	0	1		
3304	0	0	1		
3305	0	0	1		
3306	0	0	1		
3307	0	0	1		
3310	0	0	1		
3311	1	0	1	2638010630	33.5
3316	1	0	1	9095911847	36
3317	0	0	1		
3319	0	0	1		
3322	0	0	1		
3325	0	0	1		
3326	0	0	1		
3327	1	0	1	11921625474	38
3328	0	0	1		
3329	1	0	1	11961396284	38
3330	1	0	1	26571973267	38
3331	0	0	1		
3332	1	0	1	20455103684	38
3333	0	0	1		
3334	1	0	1	24943568506	38.5
3335	1	0	1	19729999460	38
3336	0	0	1		
3337	0	0	1		
3338	0	0	1		
3339	0	0	1		
3340	0	0	1		
3341	0	0	1		
3342	0	0	1		
3343	1	0	1	27598620994	37
3344	0	0	1		
3345	0	0	1		
3346	0	0	1		
3347	1	0	1	22408479511	38
3348	0	0	1		
3349	1	0	1	985624	46.5
3350	0	0	1		
3351	0	0	1		
3352	1	0	1	22103635615	37.5
3353	0	0	1		
3355	0	0	1		
3357	1	0	1	14673225455	37.5
3359	0	0	1		
3366	0	0	1		
3369	1	1	1	9239540489	36.5
3371	0	0	1		
3376	0	0	1		
3377	1	0	1	6274573688	29
3380	0	0	1		
3381	1	0	1	2147717938	37.5
3382	0	0	1		
3383	0	0	1		
3387	0	0	1		
3390	0	0	1		
3396	0	0	1		
3397	0	0	1		
3398	0	0	1		
3401	0	0	1		
3402	0	0	1		
3403	0	0	1		
3406	0	0	1		
3407	0	0	1		
3408	0	0	1		
3412	1	0	0	541943562	39.5
3413	0	0	1		
3414	1	0	1	1742421816	41.5
3415	0	0	1		
3419	0	0	1		
3420	1	1	1	972038906	39.5
3426	0	0	1		
3429	0	0	1		
3430	0	0	1		
3431	1	0	1	741513105	37
3435	1	1	1	1057076530	39.5
3436	0	0	1		
3438	1	0	0	976311497	40.5
3444	0	0	1		
3447	0	0	1		
3449	0	0	1		
3450	0	0	1		
3451	1	1	1	296097868	37
3452	0	0	1		
3453	0	0	1		
3464	0	0	1		
3467	1	0	1	406202045	37.5
3468	0	0	1		
3469	1	1	1	2715377404	37.5
3472	1	0	1	255097481	37.5
3476	1	1	1	475834238	34.5
3482	0	0	1		
3483	1	1	1	1073903735	34
3485	0	0	1		
3486	1	1	1	4922057782	39.5
3489	1	0	1	985626975	35
3490	0	0	1		
3494	1	1	1	375197597	34.5
3498	1	0	1	336436126	34.5
3501	1	0	1	618025273	41.5
3504	0	0	1		
3505	1	0	1	435172141	35.5
3507	0	0	1		
3508	0	0	1		
3509	0	0	1		
3510	0	0	1		
3511	0	0	1		
3512	1	1	1	738996406	35
3513	1	0	1	794470935	35.5
3514	0	0	1		
3516	1	1	1	520084815	37
3517	1	1	1	611874127	36.5
3522	1	0	1	296631783	36.5
3523	1	0	1	268942579	36.5
3527	1	0	1	1124849037	37.5
3528	0	0	1		
3530	0	0	1		
3533	0	0	1		
3535	0	0	1		
3538	0	0	1		
3540	0	0	1		
3541	1	0	1	2872655872	36.5
3544	1	0	1	286008514	36.5
3548	0	0	1		
3550	0	0	1		
3552	0	0	1		
3555	1	1	1	895947255	35.5
3557	0	0	1		
3558	0	0	1		
3559	1	1	1	1593843283	36
3560	0	0	1		
3561	0	0	1		
3562	1	1	1	935652614	38
3563	0	0	1		
3564	0	0	1		
3565	1	0	1	433547870	33
3567	1	0	1	468059521	34
3568	0	0	1		
3569	0	0	1		
3570	1	0	1	636302055	37.5
3572	1	1	1	2089936116	39
3573	0	0	1		
3575	0	0	1		
3583	0	0	1		
3586	0	0	1		
3589	0	0	1		
3592	0	0	1		
3595	0	0	1		
3597	0	0	1		
3600	0	0	1		
3603	0	0	1		
3604	1	0	1	84813264	35.5
3605	1	0	1	432755284	34
3607	0	0	1		
3617	1	0	1	2315884413	40
3618	0	0	1		
3619	0	0	1		
3621	0	0	1		
3624	0	0	1		
3625	1	0	1	653926268	35.5
3627	1	0	1	621990945	35.5
3633	0	0	1		
3634	1	1	1	2566742836	34
3635	1	1	1	2523670512	34.5
3641	1	1	1	417693076	33.5
3645	1	1	1	599383329	34.5
3649	1	1	1	369781828	35.5
3650	0	0	1		
3652	1	0	1	286157429	35
3653	0	0	1		
3654	1	1	1	397829775	33.5
3655	0	0	1		
3656	1	1	1	438253877	36.5
3657	1	0	1	367043684	34
3658	0	0	1		
3659	1	1	1	342173803	35.5
3661	1	1	1	271413401	36.5
3662	1	1	1	269943085	36.5
3663	0	0	1		
3664	1	0	1	260450962	36.5
3668	1	0	1	313386576	31.5
3669	0	0	1		
3670	1	0	1	689798048	36
3673	1	1	1	302992168	35.5
3674	0	0	1		
3677	0	0	1		
3679	0	0	1		
3681	0	0	1		
3684	0	0	1		
3689	0	0	1		
3690	1	1	1	784622062	33.5
3691	1	1	1	414514973	34.5
3693	0	0	1		
3694	1	1	1	423921969	35
3695	0	0	1		
3696	1	1	1	430991655	33.5
3697	0	0	1		
3700	0	0	1		
3701	0	0	1		
3702	1	1	1	148251191	36.5
3704	1	1	1	605901571	37.5
3705	0	0	1		
3707	1	1	1	933495403	37.5
3708	1	1	1	1062754919	37.5
3709	0	0	1		
3710	1	1	1	534239455	38
3711	1	1	1	443953949	38
3712	1	1	1	646170971	37
3713	1	0	1	584163424	36.5
3714	1	0	1	572041810	37
3715	1	1	1	567916392	36.5
3716	1	0	1	578707754	37
3719	1	0	1	362403986	35.5
3722	1	1	1	370456852	51
3724	0	0	1		
3725	0	0	1		
3726	1	1	1	768106291	36
3728	1	1	1	449668332	36
3730	1	0	1	245550082	36
3735	1	0	1	281915053	38
3741	0	0	1		
3743	0	0	1		
3746	0	0	1		
3747	1	1	1	1406430992	39.5
3749	0	0	1		
3750	1	1	1	754684250	38
3751	0	0	1		
3752	1	1	1	661018941	38
3754	0	0	1		
3755	1	1	1	288529327	39
3758	0	0	1		
3759	1	0	1	690105700	38
3760	1	1	1	256990410	37.5
3764	0	0	1		
3765	1	0	1	711719955	38.5
3766	0	0	1		
3767	1	0	1	503888133	37.5
3772	0	0	1		
3775	1	1	1	1614517073	40
3784	0	0	1		
3795	0	0	1		
3803	0	0	1		
3806	0	0	1		
3809	1	0	0	563995685	35
3811	1	0	0	1137903314	34
3813	1	0	1	704936734	34.5
3816	1	1	1	347230236	32
3817	0	0	1		
3818	1	1	1	2624823768	36
3821	1	1	1	750455698	34.5
3823	1	0	0	535474323	30
3824	1	1	0	614525652	32
3826	0	0	1		
3827	1	1	1	530271971	31
3829	0	0	1		
3830	1	1	0	1217412848	36.5
3832	1	0	1	481203946	33.5
3835	0	0	1		
3847	1	1	1	1038635766	35
3848	1	1	1	1013211804	35
3854	1	0	0	4252398850	37.5
3856	0	0	1		
3859	0	0	1		
3860	1	1	1	8119118376	38.5
3863	0	0	1		
3864	0	0	1		
3866	1	0	1	1338165608	34.5
3867	0	0	1		
3870	1	1	1	558896430	37
3871	1	1	1	609203021	33.5
3872	0	0	1		
3873	1	1	1	962978505	35
3874	0	0	1		
3878	0	0	1		
3879	1	0	1	913906745	34.5
3880	1	1	1	429612362	33.5
3882	0	0	1		
3884	1	0	1	610823349	37.5
3885	1	1	1	627259432	36.5
3886	1	1	1	588672384	37
3888	1	1	1	4275931177	37.5
3891	1	1	1	709758061	32
3893	1	0	1	939214006	33.5
3895	0	0	1		
3896	0	0	1		
3897	1	0	1	511488806	34
3899	1	1	1	1009398733	34
3900	1	1	1	483786482	33.5
3905	0	0	1		
3906	1	1	1	12046016411	37.5
3907	0	0	1		
3908	1	1	1	1751131175	36
3909	0	0	1		
3911	1	1	1	2034988852	35.5
3914	1	1	1	466744453	34
3915	1	1	1	498803560	33.5
3916	1	1	1	463085359	33
3917	1	1	1	632309882	34.5
3918	0	0	1		
3920	1	0	1	695045594	35
3922	0	0	1		
3932	0	0	1		
3941	0	0	1		
3942	1	0	1	312359964	39
3946	0	0	1		
3953	0	0	1		
3956	0	0	1		
3970	0	0	1		
3972	1	0	1	94261041113	31
3981	1	1	1	1876490218	34.5
3983	1	1	1	1562929113	38.5
3986	1	1	1	729637144	34
3988	1	1	1	350458699	34
3993	1	0	1	1124672373	35
3995	0	0	1		
3996	1	0	1	348068331	37
3999	1	0	1	831537837	37.5
4002	1	0	1	672057149	39
4006	1	0	1	549562034	37.5
4013	0	0	1		
4020	0	0	1		
4022	0	0	1		
4023	1	1	1	442441229	34
4024	1	1	1	626454929	35.5
4025	0	0	1		
4026	0	0	1		
4030	0	0	1		
4031	1	0	1	324778900	37.5
4032	0	0	1		
4037	0	0	1		
4039	1	1	1	451035236	35
4041	0	0	1		
4043	0	0	1		
4045	1	1	1	3332577507	35.5
4047	0	0	1		
4050	0	0	1		
4052	1	1	1	1198586830	32.5
4053	0	0	1		
4054	1	0	1	3355148547	34
4058	1	1	1	581453994	34
4060	0	0	1		
4066	0	0	1		
4068	0	0	1		
4070	0	0	1		
4071	0	0	1		
4072	1	1	1	3332669846	35
4073	0	0	1		
4075	0	0	1		
4076	1	1	1	2110457301	38.5
4079	0	0	1		
4081	1	1	1	915739934	34.5
4082	1	0	1	1014744261	36
4083	1	1	1	916200934	34.5
4084	1	0	1	833190614	34.5
4085	0	0	1		
4086	0	0	1		
4087	0	0	1		
4090	1	0	1	3512699955	39
4091	1	0	1	2689351490	39
4092	0	0	1		
4093	1	0	1	4231287016	39.5
4096	1	1	1	2379017987	39
4097	1	1	1	4646645210	39
4098	1	1	1	2244010975	39
4100	1	0	1	2791887191	38
4101	0	0	1		
4102	1	0	1	1411279658	38.5
4103	0	0	1		
4107	0	0	1		
4108	1	0	1	765361945	34.5
4109	1	1	1	752315321	35
4110	0	0	1		
4111	1	0	1	1146454791	36
4112	1	0	1	2975022173	36.5
4113	1	1	1	1560412587	35.5
